CASEID,AGE,SEX,GENHEALTH,ACT_CAREHH,ACT_CARENHH,ACT_EDUC,ACT_FOOD,ACT_HHACT,ACT_PURCH,ACT_RELIG,ACT_SOCIAL,ACT_SPORTS,ACT_VOL,ACT_WORK,ACT_SLEEPING
20100000000000,58,2,2,0,0,0,35,35,105,0,562,0,0,0,557
20100000000000,30,1,2,0,0,0,105,470,90,0,205,30,0,0,505
20100000000000,52,1,NA,0,0,0,105,450,2,0,331,0,0,0,450
20100000000000,27,1,3,20,0,0,25,30,0,0,185,0,0,475,450
20100000000000,25,1,2,0,0,310,30,15,0,0,90,0,0,480,420
20100000000000,17,2,NA,1,0,0,45,0,40,0,180,90,0,0,926
20100000000000,68,2,NA,0,0,0,110,210,0,0,245,0,0,0,750
20100000000000,78,2,NA,0,0,0,150,60,0,0,720,0,0,0,465
20100000000000,55,2,3,0,0,0,180,270,0,0,280,0,0,0,630
20100000000000,22,1,4,130,0,0,182,0,5,250,80,0,0,0,690
20100000000000,77,2,2,0,0,0,30,95,0,0,310,0,0,0,540
20100000000000,26,1,NA,90,0,0,30,145,5,75,205,66,0,0,710
20100000000000,69,2,NA,0,25,0,60,123,0,0,881,0,109,0,165
20100000000000,48,1,3,90,7,0,80,203,30,0,195,0,0,0,555
20100000000000,35,2,NA,0,0,0,40,0,0,90,60,0,0,440,675
20100000000000,58,1,3,0,0,0,0,62,0,0,330,0,0,535,420
20100000000000,39,2,NA,5,0,0,30,0,0,0,195,90,0,458,568
20100000000000,32,1,3,90,0,0,30,0,0,0,215,0,0,470,480
20100000000000,44,2,2,166,0,0,65,265,20,0,72,0,0,0,520
20100000000000,36,2,2,0,0,0,105,0,0,0,220,0,0,530,480
20100000000000,19,1,NA,0,0,0,35,10,0,0,752,0,0,0,540
20100000000000,76,1,NA,0,0,0,225,60,0,0,645,0,0,0,510
20100000000000,27,2,NA,15,0,0,50,460,0,0,0,60,0,0,815
20100000000000,68,1,NA,0,0,0,120,225,60,0,120,0,0,0,885
20100000000000,52,2,2,0,0,0,30,0,0,0,120,0,0,540,450
20100000000000,17,2,3,0,0,0,20,45,80,0,520,0,0,0,694
20100000000000,35,1,1,0,0,0,30,0,0,0,0,0,0,780,390
20100000000000,69,2,NA,0,0,0,60,196,199,0,240,0,0,0,635
20100000000000,25,2,4,110,0,0,20,28,38,0,432,0,0,0,700
20100000000000,22,2,3,0,30,0,60,20,0,0,456,0,0,118,510
20100000000000,15,1,NA,0,0,430,60,10,0,0,260,0,0,0,595
20100000000000,30,2,NA,257,0,210,110,149,0,0,75,15,0,60,489
20100000000000,36,2,1,240,0,0,60,90,60,0,135,0,0,0,635
20100000000000,39,1,NA,0,0,0,120,165,0,0,370,0,0,285,420
20100000000000,52,2,3,127,0,0,70,103,0,0,75,0,0,455,435
20100000000000,18,1,1,0,0,381,150,0,0,0,0,270,0,0,499
20100000000000,36,2,2,121,130,0,30,50,275,0,120,0,0,0,530
20100000000000,59,2,1,0,0,0,45,480,0,0,315,0,0,0,600
20100000000000,37,2,NA,62,10,0,55,75,10,0,60,0,0,387,590
20100000000000,33,2,NA,5,0,0,10,165,0,30,355,0,0,0,710
20100000000000,59,1,2,0,0,0,60,30,0,0,165,0,0,720,330
20100000000000,56,1,NA,0,0,0,0,285,30,0,260,80,0,0,600
20100000000000,21,1,2,0,10,0,90,32,60,0,579,0,0,0,482
20100000000000,32,1,2,49,0,0,40,68,0,0,272,0,0,342,525
20100000000000,44,1,1,55,0,205,30,170,0,60,160,0,0,120,480
20100000000000,24,1,3,0,0,0,75,30,0,0,140,90,0,515,480
20100000000000,37,1,NA,0,0,0,75,5,0,0,15,0,234,510,509
20100000000000,71,2,3,9,0,0,120,0,0,0,455,0,0,0,570
20100000000000,21,2,1,0,0,519,60,0,10,0,220,0,0,0,525
20100000000000,17,1,NA,0,0,0,0,0,0,0,0,0,0,870,510
20100000000000,80,1,NA,0,0,0,75,0,0,0,815,0,0,0,540
20100000000000,41,2,3,0,0,0,120,30,25,0,150,0,0,0,854
20100000000000,60,2,2,0,0,0,110,0,0,0,180,0,0,505,405
20100000000000,66,1,3,0,16,0,135,50,50,0,423,0,0,152,542
20100000000000,23,2,2,0,0,0,75,10,5,0,215,0,0,480,585
20100000000000,48,2,NA,60,0,0,150,220,30,0,120,60,180,0,495
20100000000000,71,2,1,0,0,0,210,120,0,0,160,120,240,0,590
20100000000000,28,2,NA,70,0,0,100,320,0,0,230,0,0,0,630
20100000000000,35,2,NA,445,0,0,60,120,120,0,30,0,0,90,418
20100000000000,50,1,NA,0,0,0,30,0,0,0,0,0,0,630,780
